,Rank,CollectionName,Link
0,1,Clever Arsens Nation,https://magiceden.io/marketplace/can
1,2,Critters Cult,https://magiceden.io/marketplace/critters_cult
2,3,ABC,https://magiceden.io/marketplace/abc_abracadabra
3,4,y00ts: mint t00bs,https://magiceden.io/marketplace/t00bs
4,5,Odes,https://magiceden.io/marketplace/odes
5,6,Eeries,https://magiceden.io/marketplace/eeriesnft
6,7,Don't Fc*k With Felines,https://magiceden.io/marketplace/dfwf
7,8,DeGods,https://magiceden.io/marketplace/degods
8,9,Arcanes Imagined Collection,https://magiceden.io/marketplace/404_arcane_valley
18,10,Automata,https://magiceden.io/marketplace/automata
19,11,Magic Ticket,https://magiceden.io/marketplace/magicticket
28,12,BVDCAT,https://magiceden.io/marketplace/bvdcat
29,13,SoDead,https://magiceden.io/marketplace/sodead
30,14,Helions,https://magiceden.io/marketplace/helions
39,15,Fr00gs,https://magiceden.io/marketplace/fr00gs
40,16,Okay Bears,https://magiceden.io/marketplace/okay_bears
41,17,Creature Chronicles WL,https://magiceden.io/marketplace/creature_chronicles_wl
49,18,Liberty Square: The Sinister Squirrel Syndicate,https://magiceden.io/marketplace/liberty_square
50,19,Bet3,https://magiceden.io/marketplace/bet3
51,20,Blocksmith Labs,https://magiceden.io/marketplace/blocksmith_labs
52,21,Primates,https://magiceden.io/marketplace/primates
59,22,WADE Friends & Family,https://magiceden.io/marketplace/wade
60,23,Degen Fat Cats,https://magiceden.io/marketplace/degenfatcats
61,24,RadCats,https://magiceden.io/marketplace/radcats
62,25,Oak Paradise,https://magiceden.io/marketplace/oak_paradise
63,26,Ukiyo,https://magiceden.io/marketplace/ukiyo
69,27,Visionary,https://magiceden.io/marketplace/visionary
70,28,GGSG: Galactic Geckos,https://magiceden.io/marketplace/galactic_geckos
71,29,More Bears,https://magiceden.io/marketplace/more_bears
72,30,Communi3: Mad Scientists,https://magiceden.io/marketplace/communi3
73,31,Solana Monkey Business,https://magiceden.io/marketplace/solana_monkey_business
74,32,Cropper Potions,https://magiceden.io/marketplace/cropper_potions
80,33,MixMob,https://magiceden.io/marketplace/mixmob
81,34,Bag Gang,https://magiceden.io/marketplace/bag_gang_
82,35,Degenerate Eggs,https://magiceden.io/marketplace/degenerate_ape_kindergarten
83,36,Degenerate Trash Pandas,https://magiceden.io/marketplace/degenerate_trash_pandas
84,37,Wakuland,https://magiceden.io/marketplace/wakuland
85,38,Simpl3r: Bounty Hunters,https://magiceden.io/marketplace/simpl3r
89,39,ANYBODIES,https://magiceden.io/marketplace/anybodies
90,40,Sachi,https://magiceden.io/marketplace/sachi
91,41,Pawnshop Gnomies,https://magiceden.io/marketplace/pawnshop_gnomies
